Semana;Trends;Close;Ret_Pct;;;;;;;;;;;;;
03/01/2021;85;220.500;;;;;;;;;;;;;;
10/01/2021;81;195.788;-0,112072562;;;;;;;;;;;;;
17/01/2021;53;176.999;-0,095966045;;;;;;;;;;;;;
24/01/2021;49;186.605;0,054271493;;;;;;;;;;;;;
31/01/2021;44;213.000;0,141448514;;;;;;;;;;;;;
07/02/2021;77;258.200;0,212206573;;;;;;;;;;;;;
14/02/2021;73;313.300;0,213400465;;;;;;;;;;;;;
21/02/2021;81;264.138;-0,156916693;;;;;;;;;;;;;
28/02/2021;55;278.601;0,054755469;;;;;;;;;;;;;
07/03/2021;53;339.998;0,220376093;;;;;;;;;;;;;
14/03/2021;52;325.810;-0,041729657;;;;;;;;;;;;;
21/03/2021;47;318.201;-0,023354102;;;;;;;;;;;;;
28/03/2021;46;330.567;0,038862229;;;;;;;;;;;;;
04/04/2021;41;337.499;0,02097003;;;;;;;;;;;;;
11/04/2021;54;347.500;0,02963268;;;;;;;;;;;;;
18/04/2021;67;282.001;-0,188486331;;;;;;;;;;;;;
25/04/2021;51;315.500;0,118790359;;;;;;;;;;;;;
02/05/2021;44;310.900;-0,014580032;;;;;;;;;;;;;
09/05/2021;59;250.010;-0,195850756;;;;;;;;;;;;;
16/05/2021;100;207.500;-0,170033199;;;;;;;;;;;;;
23/05/2021;70;184.152;-0,112520482;;;;;;;;;;;;;
30/05/2021;51;180.500;-0,019831444;;;;;;;;;;;;;
06/06/2021;53;183.830;0,018448753;;;;;;;;;;;;;
13/06/2021;41;183.850;0,000108796;;;;;;;;;;;;;
20/06/2021;49;161.161;-0,123410389;;;;;;;;;;;;;
27/06/2021;36;175.659;0,08995973;;;;;;;;;;;;;
04/07/2021;29;178.000;0,013326957;;;;;;;;;;;;;
11/07/2021;29;163.303;-0,082567416;;;;;;;;;;;;;
18/07/2021;35;176.206;0,079012633;;;;;;;;;;;;;
25/07/2021;39;215.500;0,223000352;;;;;;;;;;;;;
01/08/2021;31;235.000;0,090487239;;;;;;;;;;;;;
08/08/2021;37;248.246;0,056365957;;;;;;;;;;;;;
15/08/2021;32;264.000;0,063461244;;;;;;;;;;;;;
22/08/2021;33;255.270;-0,033068182;;;;;;;;;;;;;
29/08/2021;28;260.027;0,018635171;;;;;;;;;;;;;
05/09/2021;38;241.042;-0,073011649;;;;;;;;;;;;;
12/09/2021;27;255.569;0,060267505;;;;;;;;;;;;;
19/09/2021;33;230.600;-0,097699643;;;;;;;;;;;;;
26/09/2021;28;254.527;0,103759757;;;;;;;;;;;;;
03/10/2021;33;303.629;0,192914701;;;;;;;;;;;;;
10/10/2021;36;336.348;0,107759799;;;;;;;;;;;;;
17/10/2021;47;348.000;0,034642691;;;;;;;;;;;;;
24/10/2021;37;350.066;0,005936782;;;;;;;;;;;;;
31/10/2021;31;344.896;-0,014768644;;;;;;;;;;;;;
07/11/2021;37;355.957;0,032070537;;;;;;;;;;;;;
14/11/2021;37;339.275;-0,046865211;;;;;;;;;;;;;
21/11/2021;36;310.706;-0,084206028;;;;;;;;;;;;;
28/11/2021;37;284.877;-0,083130033;;;;;;;;;;;;;
05/12/2021;40;279.000;-0,020629956;;;;;;;;;;;;;
12/12/2021;34;266.798;-0,043734767;;;;;;;;;;;;;
19/12/2021;32;289.310;0,084378444;;;;;;;;;;;;;
26/12/2021;31;268.007;-0,073633818;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
